order_item_id,order_id,product_id,quantity,unit_price,total_price
ITEMZ9UGT9RYQ51X,ORD067A1X6KKYFS,PRDKP222W185OII,1,29474.0,29474.0
ITEMWL8JMF49ESP6,ORD067A1X6KKYFS,PRDXO135N4ZZNKK,2,22557.0,45114.0
ITEMRG0AVDDYOYT0,ORD067A1X6KKYFS,PRDZUH8448BGHAY,3,18338.0,55014.0
ITEMEV4MXAP33HD5,ORDJ1VBKGPXVM3T,PRDJWTY5A4B7G71,2,20753.0,41506.0
ITEM3KLIQMOMJZBG,ORD5Q0JOTBF3JNQ,PRDRQ37KVWWRHV6,3,45956.0,137868.0
ITEM4S4NEUAAF7KR,ORD5Q0JOTBF3JNQ,PRD2CRWCQN4VFXI,2,299.0,598.0
ITEMJFBQRI5IFPID,ORD5Q0JOTBF3JNQ,PRDL42YUDTR7M34,1,35729.0,35729.0
ITEMBDVQ3LB0LX2H,ORDZ6YZJ5G5H6VV,PRD15WF5X2W08WI,3,1916.0,5748.0
ITEMSLTDRMJYT834,ORDX8E4MYLHZEF5,PRDJKCJUFFVIUR9,3,9952.0,29856.0
ITEMEIG8YPUEHKJO,ORDX8E4MYLHZEF5,PRDE0AFRBUGG5IT,3,23384.0,70152.0
ITEME7294EYO9W94,ORDX8E4MYLHZEF5,PRDWTY5BWI124YN,3,7524.0,22572.0
ITEMYDFFIJABDP2P,ORDX8E4MYLHZEF5,PRDMDJFU6YU5RHO,2,30090.0,60180.0
ITEMA4QL5M3Z652R,ORDJYU7H7F9ALB0,PRDIG1H5NW7NFXB,2,36452.0,72904.0
ITEMCLIE0TXODAMO,ORDJYU7H7F9ALB0,PRDQ9IGWMZEPX7Q,1,244.0,244.0
ITEMKZFUY0Z2TX5C,ORDJYU7H7F9ALB0,PRDEANCUO7IB21W,3,16510.0,49530.0
ITEMMCNBOABB3P3W,ORDJYU7H7F9ALB0,PRD35N3ZJW8X6ZN,2,3422.0,6844.0
ITEMQZL9QV6CXX8T,ORDA8O7GBYVTGMY,PRDDSFZXSG5JTDY,1,4606.0,4606.0
ITEMLSKK8XBX38K6,ORDS09YDYA05PBK,PRDHQ3CMMY3REID,1,29579.0,29579.0
ITEMTHGFGYGKATDW,ORDS09YDYA05PBK,PRDWJ9Z811FPTXD,2,20115.0,40230.0
ITEM0W09C02T8ACF,ORDS09YDYA05PBK,PRDTIXB4SAK5C5V,3,7053.0,21159.0
ITEMXCGDG31G3N3S,ORDP28V2HOSA9WU,PRD4OF67FFPHI83,2,12736.0,25472.0
ITEMBE8D2BH5G909,ORDP28V2HOSA9WU,PRD6136FALWZ104,3,39850.0,119550.0
ITEMEQIA1PYA7PC1,ORDP448F4SUNPRH,PRDY30G05QFQXT5,3,5273.0,15819.0
ITEMBFF3FYOHSV0L,ORDP448F4SUNPRH,PRDKP222W185OII,2,29474.0,58948.0
ITEM8993HE12TRMS,ORDP448F4SUNPRH,PRDL0ZEE4VOKVQ0,2,37823.0,75646.0
ITEMJJNIQGE9U192,ORDP448F4SUNPRH,PRDXPESJJUJD9E7,1,48743.0,48743.0
ITEMS4BM9D6RI7SM,ORD90MIQBF38VI9,PRDL0ZEE4VOKVQ0,2,37823.0,75646.0
ITEMSRVI3ZRN25JQ,ORDAGL4I6C25M5W,PRDEPGMMHVGY3ZI,2,38445.0,76890.0
ITEM2U68NSL1IH70,ORDAGL4I6C25M5W,PRD8613TRDCO3S5,2,32376.0,64752.0
ITEMFBAR1Z4WZ9IB,ORD6BN6H0J3A3UX,PRDNMB3ODGQ1Y1I,3,49898.0,149694.0
ITEM6VCGCZPOEONB,ORD6BN6H0J3A3UX,PRDOV4QL6ZEA6GK,2,10106.0,20212.0
ITEM785CFCVJ1NAW,ORD6BN6H0J3A3UX,PRDWJ9Z811FPTXD,1,20115.0,20115.0
ITEM4RRF29RNP6JO,ORD6BN6H0J3A3UX,PRDAIS4J3F2N4DL,3,14143.0,42429.0
ITEMQJJ73SS3BRX6,ORDNZBQ3B93KIXV,PRD1GUC8F54D9WU,3,28808.0,86424.0
ITEMYHIGUWVN0PCT,ORDNZBQ3B93KIXV,PRDYOTQXVOCVTWU,1,3223.0,3223.0
ITEMPX4X4HJFN7UO,ORDLSQZO88VYQ18,PRD42OHJKVQT2IB,2,39249.0,78498.0
ITEMSTIANPLK3BCK,ORDLSQZO88VYQ18,PRDEF5HQDYVHYG0,3,19931.0,59793.0
ITEMD3KBMKBNW8YW,ORD2RK1R8MOJ0BA,PRDZGV998G2MN7T,2,29342.0,58684.0
ITEM1BOV7XG8N8NW,ORD183C4WI1HGY6,PRDLLI16T2C3T9S,3,7787.0,23361.0
ITEM47I8GDTVTVNE,ORD183C4WI1HGY6,PRD5GOH3ULXLXPH,3,25256.0,75768.0
ITEMKFOC8GQMXZZM,ORD183C4WI1HGY6,PRDJ05EIZ649LG2,1,38177.0,38177.0
ITEMB4VEMZPW2N12,ORDYWOZ59NRLPS3,PRD5YX80G9HKUC7,3,7305.0,21915.0
ITEMUT04U5Z413EQ,ORD5QLL9F1LOGCY,PRDFFI90KUL90LJ,3,16949.0,50847.0
ITEMFD4SFFP74AWS,ORD5QLL9F1LOGCY,PRDNMB3ODGQ1Y1I,1,49898.0,49898.0
ITEM2BUZQLL0Y9SW,ORD5QLL9F1LOGCY,PRDUJPUSMZ74ZVG,2,17275.0,34550.0
ITEMMF51ITJMXUL3,ORD5QLL9F1LOGCY,PRDL42YUDTR7M34,2,35729.0,71458.0
ITEMMUTU5EH5NL5H,ORD6V4JMLS5QRG1,PRD90VHXPLJ3NEC,1,21398.0,21398.0
ITEMLUEM9XYY60DM,ORD6V4JMLS5QRG1,PRDAIOSB4O4H28V,1,100.0,100.0
ITEMI7DOYFQP5VHL,ORD6V4JMLS5QRG1,PRDN0CU6IF87APN,1,48970.0,48970.0
ITEMQ8RVDMHH7WPT,ORD6V4JMLS5QRG1,PRD6HDWZAQOMLBI,1,15486.0,15486.0
